name_a,name_b,album_work,size,source,sink
Aneglo Petraglia,Aneglo Petraglia,Until Red,1,0,0
Hillary Lindsey,Hillary Lindsey,Until Red,1,1,1
Brian Maher,Brian Maher,Until Red,1,2,2
Gary Lightbody,Gary Lightbody,Until Red,1,3,3
Brett James,Brett James,Until Red,1,4,4
Robert Orrall,Robert Orrall,Until Red,1,5,5
Liz Rose,Liz Rose,Until Red,14,6,6
Jacknife Lee,Jacknife Lee,Until Red,1,7,7
Troy Verges,Troy Verges,Until Red,1,8,8
Max Martin,Max Martin,Reputation and 1989,1,9,9
Ali Payami,Ali Payami,Reputation and 1989,1,10,10
Oscar Holter,Oscar Holter,Reputation and 1989,1,11,11
Oscar Gorres,Oscar Gorres,Reputation and 1989,1,12,12
Fred Fairbrass,Fred Fairbrass,Reputation and 1989,1,13,13
Richard Fairbrass,Richard Fairbrass,Reputation and 1989,1,14,14
Ed Sheeran,Ed Sheeran,Reputation and 1989,1,15,15
Nayvadius Wilburn,Nayvadius Wilburn,Reputation and 1989,1,16,16
Shellback,Shellback,Reputation and 1989,1,17,17
Rob Manzoli,Rob Manzoli,Reputation and 1989,1,18,18
Adam King Feeney,Adam King Feeney,Lover,1,19,19
Annie Clark,Annie Clark,Lover,1,20,20
Cautious Clay,Cautious Clay,Lover,1,21,21
Jack Antonoff,Jack Antonoff,Lover,20,22,22
Brendon Urie,Brendon Urie,Lover,1,23,23
Louis Bell,Louis Bell,Lover,1,24,24
Mark Anthony Spears,Mark Anthony Spears,Lover,1,25,25
Joel Little,Joel Little,Lover,3,26,26
Justin Vernon,Justin Vernon,folklore onwards,1,27,27
Aaron Dessner,Aaron Dessner,folklore onwards,20,28,28
Bryce Dessner,Bryce Dessner,folklore onwards,1,29,29
Cary Barlowe,Cary Barlowe,folklore onwards,1,30,30
Nathan Barlowe,Nathan Barlowe,folklore onwards,1,31,31
Brad Warren,Brad Warren,folklore onwards,1,32,32
William Bowery,William Bowery,folklore onwards,2,33,33
Tommy Lee James,Tommy Lee James,folklore onwards,1,34,34
Brett Warren,Brett Warren,folklore onwards,1,35,35
